Round Number	Date	Location	Team1	Team2	Team1_goals	Team2_goals	IsPlayed
1	2022-11-20 16:00:00	Al Bayt Stadium	Qatar	Ecuador			
1	2022-11-21 13:00:00	Khalifa International Stadium	England	Iran			
1	2022-11-21 16:00:00	Al Thumama Stadium	Senegal	Netherlands			
1	2022-11-21 19:00:00	Ahmad Bin Ali Stadium	USA	Wales			
1	2022-11-22 10:00:00	Lusail Stadium	Argentina	Saudi Arabia			
1	2022-11-22 13:00:00	Education City Stadium	Denmark	Tunisia			
1	2022-11-22 16:00:00	Stadium 974	Mexico	Poland			
1	2022-11-22 19:00:00	Al Janoub Stadium	France	Australia			
1	2022-11-23 10:00:00	Al Bayt Stadium	Morocco	Croatia			
1	2022-11-23 13:00:00	Khalifa International Stadium	Germany	Japan			
1	2022-11-23 16:00:00	Al Thumama Stadium	Spain	Costa Rica			
1	2022-11-23 19:00:00	Ahmad Bin Ali Stadium	Belgium	Canada			
1	2022-11-24 10:00:00	Al Janoub Stadium	Switzerland	Cameroon			
1	2022-11-24 13:00:00	Education City Stadium	Uruguay	Korea Republic			
1	2022-11-24 16:00:00	Stadium 974	Portugal	Ghana			
1	2022-11-24 19:00:00	Lusail Stadium	Brazil	Serbia			
2	2022-11-25 10:00:00	Ahmad Bin Ali Stadium	Wales	Iran			
2	2022-11-25 13:00:00	Al Thumama Stadium	Qatar	Senegal			
2	2022-11-25 16:00:00	Khalifa International Stadium	Netherlands	Ecuador			
2	2022-11-25 19:00:00	Al Bayt Stadium	England	USA			
2	2022-11-26 10:00:00	Al Janoub Stadium	Tunisia	Australia			
2	2022-11-26 13:00:00	Education City Stadium	Poland	Saudi Arabia			
2	2022-11-26 16:00:00	Stadium 974	France	Denmark			
2	2022-11-26 19:00:00	Lusail Stadium	Argentina	Mexico			
2	2022-11-27 10:00:00	Ahmad Bin Ali Stadium	Japan	Costa Rica			
2	2022-11-27 13:00:00	Al Thumama Stadium	Belgium	Morocco			
2	2022-11-27 16:00:00	Khalifa International Stadium	Croatia	Canada			
2	2022-11-27 19:00:00	Al Bayt Stadium	Spain	Germany			
2	2022-11-28 10:00:00	Al Janoub Stadium	Cameroon	Serbia			
2	2022-11-28 13:00:00	Education City Stadium	Korea Republic	Ghana			
2	2022-11-28 16:00:00	Stadium 974	Brazil	Switzerland			
2	2022-11-28 19:00:00	Lusail Stadium	Portugal	Uruguay			
3	2022-11-29 15:00:00	Khalifa International Stadium	Ecuador	Senegal			
3	2022-11-29 15:00:00	Al Bayt Stadium	Netherlands	Qatar			
3	2022-11-29 19:00:00	Ahmad Bin Ali Stadium	Wales	England			
3	2022-11-29 19:00:00	Al Thumama Stadium	Iran	USA			
3	2022-11-30 15:00:00	Al Janoub Stadium	Australia	Denmark			
3	2022-11-30 15:00:00	Education City Stadium	Tunisia	France			
3	2022-11-30 19:00:00	Stadium 974	Poland	Argentina			
3	2022-11-30 19:00:00	Lusail Stadium	Saudi Arabia	Mexico			
3	2022-12-01 15:00:00	Ahmad Bin Ali Stadium	Croatia	Belgium			
3	2022-12-01 15:00:00	Al Thumama Stadium	Canada	Morocco			
3	2022-12-01 19:00:00	Khalifa International Stadium	Japan	Spain			
3	2022-12-01 19:00:00	Al Bayt Stadium	Costa Rica	Germany			
3	2022-12-02 15:00:00	Al Janoub Stadium	Ghana	Uruguay			
3	2022-12-02 15:00:00	Education City Stadium	Korea Republic	Portugal			
3	2022-12-02 19:00:00	Stadium 974	Serbia	Switzerland			
3	2022-12-02 19:00:00	Lusail Stadium	Cameroon	Brazil			
Round of 16	2022-12-03 15:00:00	TBA	1A	2B			
Round of 16	2022-12-03 19:00:00	TBA	1C	2D			
Round of 16	2022-12-04 15:00:00	TBA	1D	2C			
Round of 16	2022-12-04 19:00:00	TBA	1B	2A			
Round of 16	2022-12-05 15:00:00	TBA	1E	2F			
Round of 16	2022-12-05 19:00:00	TBA	1G	2H			
Round of 16	2022-12-06 15:00:00	TBA	1F	2E			
Round of 16	2022-12-06 19:00:00	TBA	1H	2G			
Quarter Finals	2022-12-09 15:00:00	TBA	To be announced	To be announced			
Quarter Finals	2022-12-09 19:00:00	TBA	To be announced	To be announced			
Quarter Finals	2022-12-10 15:00:00	TBA	To be announced	To be announced			
Quarter Finals	2022-12-10 19:00:00	TBA	To be announced	To be announced			
Semi Finals	2022-12-13 19:00:00	TBA	To be announced	To be announced			
Semi Finals	2022-12-14 19:00:00	TBA	To be announced	To be announced			
Finals	2022-12-17 15:00:00	TBA	To be announced	To be announced			
Finals	2022-12-18 15:00:00	TBA	To be announced	To be announced			
