Team	AttackPower	DefensePower
Brazil	1,9919492345	0,2986350636
France	1,7266142476	0,4217099874
Argentina	1,6428404194	0,4651851941
England	1,6009576886	0,487905887
Spain	1,5441787184	0,5198522346
Germany	1,4515656057	0,5750772986
Netherlands	1,3543476907	0,6377974538
Portugal	1,3062294994	0,6709005058
Belgium	1,2759667229	0,6924958621
Denmark	1,0693451657	0,8593890743
Croatia	0,990108522	0,9347604075
Uruguay	0,9616445493	0,9638027039
Senegal	0,9115852676	1,0177842361
Serbia	0,8698516077	1,0659693825
Switzerland	0,8357329593	1,1078063143
Poland	0,7972985732	1,1579187446
Mexico	0,795166874	1,1607988596
USA	0,7817689586	1,179158917
Ecuador	0,7675975224	1,1990820602
Wales	0,7621348648	1,206905729
Korea Republic	0,7512827626	1,2226951564
Morocco	0,7469900291	1,2290340643
Japan	0,7420054168	1,2364626563
Cameroon	0,7373920252	1,2434043536
Ghana	0,736509641	1,2447394307
Qatar	0,7112546227	1,2839972265
Canada	0,7009508885	1,3006248704
Australia	0,6935257526	1,3128404588
Iran	0,6935257526	1,3128404588
Tunisia	0,6877549295	1,3224740858
Costa Rica	0,6809617439	1,3339756612
Saudi Arabia	0,6809617439	1,3339756612
