MatchID	RoundNumber	Date	Location	Team1	Team2	goals1	goals2	IsPlayed	Team1_source	Team2_source
1	1	2022-11-20 16:00:00	Al Bayt Stadium	Qatar	Ecuador				Predefined	Predefined
2	1	2022-11-21 13:00:00	Khalifa International Stadium	England	Iran				Predefined	Predefined
3	1	2022-11-21 16:00:00	Al Thumama Stadium	Senegal	Netherlands				Predefined	Predefined
4	1	2022-11-21 19:00:00	Ahmad Bin Ali Stadium	USA	Wales				Predefined	Predefined
5	1	2022-11-22 10:00:00	Lusail Stadium	Argentina	Saudi Arabia				Predefined	Predefined
6	1	2022-11-22 13:00:00	Education City Stadium	Denmark	Tunisia				Predefined	Predefined
7	1	2022-11-22 16:00:00	Stadium 974	Mexico	Poland				Predefined	Predefined
8	1	2022-11-22 19:00:00	Al Janoub Stadium	France	Australia				Predefined	Predefined
9	1	2022-11-23 10:00:00	Al Bayt Stadium	Morocco	Croatia				Predefined	Predefined
10	1	2022-11-23 13:00:00	Khalifa International Stadium	Germany	Japan				Predefined	Predefined
11	1	2022-11-23 16:00:00	Al Thumama Stadium	Spain	Costa Rica				Predefined	Predefined
12	1	2022-11-23 19:00:00	Ahmad Bin Ali Stadium	Belgium	Canada				Predefined	Predefined
13	1	2022-11-24 10:00:00	Al Janoub Stadium	Switzerland	Cameroon				Predefined	Predefined
14	1	2022-11-24 13:00:00	Education City Stadium	Uruguay	Korea Republic				Predefined	Predefined
15	1	2022-11-24 16:00:00	Stadium 974	Portugal	Ghana				Predefined	Predefined
16	1	2022-11-24 19:00:00	Lusail Stadium	Brazil	Serbia				Predefined	Predefined
17	2	2022-11-25 10:00:00	Ahmad Bin Ali Stadium	Wales	Iran				Predefined	Predefined
18	2	2022-11-25 13:00:00	Al Thumama Stadium	Qatar	Senegal				Predefined	Predefined
19	2	2022-11-25 16:00:00	Khalifa International Stadium	Netherlands	Ecuador				Predefined	Predefined
20	2	2022-11-25 19:00:00	Al Bayt Stadium	England	USA				Predefined	Predefined
